iter	Passed	Remaining
0	51	102828
1	311	311121
2	388	258494
3	539	268995
4	619	247136
5	665	221272
6	713	203165
7	767	191139
8	832	184082
9	899	178953
10	973	176005
11	1072	177748
12	1210	185017
13	1570	222827
14	1619	214304
15	1715	212693
16	1767	206146
17	1810	199353
18	1863	194332
19	1909	189081
20	1960	184720
21	2015	181226
22	2066	177665
23	2120	174558
24	2172	171617
25	2223	168851
26	2272	166066
27	2325	163776
28	2374	161392
29	2424	159185
30	2479	157480
31	2527	155471
32	2577	153636
33	2626	151848
34	2676	150243
35	2719	148341
36	2771	147013
37	2823	145803
38	2868	144256
39	2921	143162
40	2973	142059
41	3029	141226
42	3084	140369
43	3128	139062
44	3170	137752
45	3218	136700
46	3274	136072
47	3322	135095
48	3372	134265
49	3431	133829
50	3475	132837
51	3524	132016
52	3569	131133
53	3620	130489
54	3671	129847
55	3716	129014
56	3769	128487
57	3818	127852
58	3879	127626
59	3931	127118
60	3982	126588
61	4029	125962
62	4081	125493
63	4135	125103
64	4192	124801
65	4250	124553
66	4305	124208
67	4353	123692
68	4398	123104
69	4450	122704
70	4504	122390
71	4554	121950
72	4603	121530
73	4650	121045
74	4699	120626
75	4749	120248
76	4797	119800
77	4847	119459
78	4897	119083
79	4950	118804
80	4996	118381
81	5055	118251
82	5103	117875
83	5155	117585
84	5196	117070
85	5244	116728
86	5299	116531
87	5352	116300
88	5399	115927
89	5444	115549
90	5494	115274
91	5539	114878
92	5590	114642
93	5640	114374
94	5687	114048
95	5734	113729
96	5784	113475
97	5829	113135
98	5872	112762
99	5916	112408
100	5960	112071
101	6019	112014
102	6071	111821
103	6128	111720
104	6173	111411
105	6222	111180
106	6268	110906
107	6315	110634
108	6365	110427
109	6405	110066
110	6458	109913
111	6503	109626
112	6558	109519
113	6608	109328
114	6651	109027
115	6699	108801
116	6750	108641
117	6798	108430
118	6844	108191
119	6886	107889
120	6933	107663
121	6974	107356
122	7023	107173
123	7070	106964
124	7122	106843
125	7165	106574
126	7214	106403
127	7268	106294
128	7316	106120
129	7362	105907
130	7412	105752
131	7456	105524
132	7500	105289
133	7548	105111
134	7590	104857
135	7635	104649
136	7679	104430
137	7720	104170
138	7768	104003
139	7815	103831
140	7864	103690
141	7916	103587
142	7969	103490
143	8022	103400
144	8082	103400
145	8137	103338
146	8186	103196
147	8243	103157
148	8291	102998
149	8349	102976
150	8395	102807
151	8436	102573
152	8482	102401
153	8528	102235
154	8575	102074
155	8621	101904
156	8669	101775
157	8715	101603
158	8764	101483
159	8811	101328
160	8859	101196
161	8909	101082
162	8951	100884
163	9001	100767
164	9050	100651
165	9094	100478
166	9138	100300
167	9185	100166
168	9230	100004
169	9275	99849
170	9324	99729
171	9363	99516
172	9408	99356
173	9449	99166
174	9498	99054
175	9546	98940
176	9593	98804
177	9635	98630
178	9680	98486
179	9730	98386
180	9775	98236
181	9824	98132
182	9872	98023
183	9922	97926
184	9969	97804
185	10015	97674
186	10064	97574
187	10106	97413
188	10151	97271
189	10201	97178
190	10258	97164
191	10312	97110
192	10370	97093
193	10418	96989
194	10463	96857
195	10512	96757
196	10559	96645
197	10605	96522
198	10654	96429
199	10699	96299
200	10747	96190
201	10796	96100
202	10845	96003
203	10894	95917
204	10943	95823
205	10992	95734
206	11041	95637
207	11084	95499
208	11131	95393
209	11174	95251
210	11226	95182
211	11272	95070
212	11321	94986
213	11372	94913
214	11423	94838
215	11469	94732
216	11520	94658
217	11567	94555
218	11618	94482
219	11674	94454
220	11723	94374
221	11772	94283
222	11819	94183
223	11869	94107
224	11916	94005
225	11962	93902
226	12011	93815
227	12058	93716
228	12106	93630
229	12153	93527
230	12204	93461
231	12253	93382
232	12296	93255
233	12343	93154
234	12396	93108
235	12447	93041
236	12498	92977
237	12545	92875
238	12594	92799
239	12635	92663
240	12689	92617
241	12739	92548
242	12785	92447
243	12830	92337
244	12887	92314
245	12933	92219
246	12981	92135
247	13036	92095
248	13086	92024
249	13132	91926
250	13180	91842
251	13233	91792
252	13279	91694
253	13329	91624
254	13375	91531
255	13427	91472
256	13479	91417
257	13533	91378
258	13581	91293
259	13629	91212
260	13684	91179
261	13736	91123
262	13805	91178
263	13855	91111
264	13904	91037
265	13955	90974
266	14006	90908
267	14046	90778
268	14094	90699
269	14142	90614
270	14189	90531
271	14234	90431
272	14279	90330
273	14325	90242
274	14376	90180
275	14420	90075
276	14465	89976
277	14517	89923
278	14574	89902
279	14630	89870
280	14679	89801
281	14731	89744
282	14782	89684
283	14831	89616
284	14888	89593
285	14942	89551
286	14999	89524
287	15048	89455
288	15097	89382
289	15149	89330
290	15191	89218
291	15237	89128
292	15289	89077
293	15341	89023
294	15402	89019
295	15455	88973
296	15503	88899
297	15545	88787
298	15590	88694
299	15630	88572
300	15676	88485
301	15720	88390
302	15771	88328
303	15811	88211
304	15853	88103
305	15906	88057
306	15955	87991
307	16001	87905
308	16049	87828
309	16092	87727
310	16141	87662
311	16187	87580
312	16229	87474
313	16272	87371
314	16316	87281
315	16358	87174
316	16402	87084
317	16447	86996
318	16494	86919
319	16537	86821
320	16585	86752
321	16630	86665
322	16680	86604
323	16765	86726
324	16824	86709
325	16868	86618
326	16910	86518
327	16955	86429
328	17001	86351
329	17046	86263
330	17100	86226
331	17155	86189
332	17215	86178
333	17264	86114
334	17309	86028
335	17365	85999
336	17417	85949
337	17497	86040
338	17541	85949
339	17591	85886
340	17635	85798
341	17689	85758
342	17740	85702
343	17797	85678
344	17863	85690
345	17911	85623
346	17956	85539
347	18002	85460
348	18045	85366
349	18102	85338
350	18149	85264
351	18194	85182
352	18240	85106
353	18282	85009
354	18328	84930
355	18380	84879
356	18425	84797
357	18477	84750
358	18527	84691
359	18582	84654
360	18631	84588
361	18681	84532
362	18736	84493
363	18780	84407
364	18834	84367
365	18881	84297
366	18933	84245
367	18983	84186
368	19029	84111
369	19075	84036
370	19131	84001
371	19188	83975
372	19230	83883
373	19277	83812
374	19324	83738
375	19380	83705
376	19428	83642
377	19472	83556
378	19524	83505
379	19575	83454
380	19623	83387
381	19671	83319
382	19722	83266
383	19774	83215
384	19824	83159
385	19871	83090
386	19929	83065
387	19980	83010
388	20036	82978
389	20099	82976
390	20151	82924
391	20198	82853
392	20242	82772
393	20282	82674
394	20336	82635
395	20393	82604
396	20445	82552
397	20495	82498
398	20548	82451
399	20601	82404
400	20660	82385
401	20709	82323
402	20752	82238
403	20797	82158
404	20845	82096
405	20892	82027
406	20945	81980
407	21002	81951
408	21054	81901
409	21105	81848
410	21161	81812
411	21207	81739
412	21247	81646
413	21298	81593
414	21353	81554
415	21400	81485
416	21447	81417
417	21492	81343
418	21535	81258
419	21578	81175
420	21620	81088
421	21661	80998
422	21707	80929
423	21764	80898
424	21818	80858
425	21857	80758
426	21906	80700
427	21951	80626
428	21995	80547
429	22033	80448
430	22074	80358
431	22115	80271
432	22162	80203
433	22207	80130
434	22258	80080
435	22311	80033
436	22355	79959
437	22399	79882
438	22439	79791
439	22482	79710
440	22525	79631
441	22573	79567
442	22613	79480
443	22652	79387
444	22690	79290
445	22737	79223
446	22778	79138
447	22832	79097
448	22871	79004
449	22908	78906
450	22950	78824
451	22998	78763
452	23051	78721
453	23099	78659
454	23138	78569
455	23194	78536
456	23233	78444
457	23277	78369
458	23321	78297
459	23360	78206
460	23402	78127
461	23442	78040
462	23493	77990
463	23532	77899
464	23567	77797
465	23603	77698
466	23636	77589
467	23677	77508
468	23714	77413
469	23758	77339
470	23804	77274
471	23849	77207
472	23894	77138
473	23932	77047
474	23980	76990
475	24021	76907
476	24066	76840
477	24106	76758
478	24145	76670
479	24193	76613
480	24247	76574
481	24289	76495
482	24339	76444
483	24394	76410
484	24442	76350
485	24493	76302
486	24547	76262
487	24595	76206
488	24636	76127
489	24676	76044
490	24718	75968
491	24770	75921
492	24808	75833
493	24860	75790
494	24906	75724
495	24962	75693
496	25029	75693
497	25074	75626
498	25141	75625
499	25206	75618
500	25264	75592
501	25323	75566
502	25384	75547
503	25443	75522
504	25503	75501
505	25549	75437
506	25595	75373
507	25651	75337
508	25711	75316
509	25762	75266
510	25815	75224
511	25870	75185
512	25921	75138
513	25991	75142
514	26029	75054
515	26071	74979
516	26128	74948
517	26177	74892
518	26222	74828
519	26269	74766
520	26322	74722
521	26371	74669
522	26419	74611
523	26467	74552
524	26527	74528
525	26589	74510
526	26639	74460
527	26694	74420
528	26757	74404
529	26816	74376
530	26869	74333
531	26922	74289
532	26970	74231
533	27022	74184
534	27072	74134
535	27121	74077
536	27169	74021
537	27218	73966
538	27265	73906
539	27313	73848
540	27372	73819
541	27429	73785
542	27475	73724
543	27524	73669
544	27576	73622
545	27634	73590
546	27698	73575
547	27762	73559
548	27832	73559
549	27905	73567
550	27971	73557
551	28023	73511
552	28075	73464
553	28131	73426
554	28180	73371
555	28240	73343
556	28291	73294
557	28339	73237
558	28394	73195
559	28450	73158
560	28500	73105
561	28558	73073
562	28617	73044
563	28679	73019
564	28734	72981
565	28783	72926
566	28838	72884
567	28894	72847
568	28944	72792
569	28992	72735
570	29035	72663
571	29095	72636
572	29153	72602
573	29222	72598
574	29267	72533
575	29316	72476
576	29365	72420
577	29419	72377
578	29481	72355
579	29537	72315
580	29585	72257
581	29638	72211
582	29702	72191
583	29771	72186
584	29828	72148
585	29878	72095
586	29933	72053
587	29984	72004
588	30031	71943
589	30074	71873
590	30129	71831
591	30167	71750
592	30224	71713
593	30271	71651
594	30318	71591
595	30374	71554
596	30424	71500
597	30487	71477
598	30539	71427
599	30611	71426
600	30663	71377
601	30720	71342
602	30774	71297
603	30828	71252
604	30878	71198
605	30929	71147
606	30976	71086
607	31028	71039
608	31076	70981
609	31115	70902
610	31160	70836
611	31216	70799
612	31274	70762
613	31328	70719
614	31373	70654
615	31433	70623
616	31488	70580
617	31535	70521
618	31586	70468
619	31639	70423
620	31692	70377
621	31741	70320
622	31791	70266
623	31835	70201
624	31890	70158
625	31940	70106
626	31988	70048
627	32033	69984
628	32109	69988
629	32188	69996
630	32286	70046
631	32358	70042
632	32408	69988
633	32455	69928
634	32502	69867
635	32547	69802
636	32585	69723
637	32632	69663
638	32679	69603
639	32730	69551
640	32778	69495
641	32830	69445
642	32876	69382
643	32928	69332
644	32971	69265
645	33020	69209
646	33061	69137
647	33101	69063
648	33144	68995
649	33179	68911
650	33213	68824
651	33254	68752
652	33297	68685
653	33331	68600
654	33367	68517
655	33418	68466
656	33463	68404
657	33509	68343
658	33555	68281
659	33596	68211
660	33633	68131
661	33676	68065
662	33717	67995
663	33768	67943
664	33816	67888
665	33867	67836
666	33909	67767
667	33957	67711
668	33999	67642
669	34044	67580
670	34086	67513
671	34126	67441
672	34160	67357
673	34202	67288
674	34245	67222
675	34294	67168
676	34339	67105
677	34379	67034
678	34429	66981
679	34469	66911
680	34512	66845
681	34556	66782
682	34598	66714
683	34644	66654
684	34684	66583
685	34728	66520
686	34771	66455
687	34819	66400
688	34862	66335
689	34899	66257
690	34939	66188
691	34973	66105
692	35015	66039
693	35059	65976
694	35107	65922
695	35151	65858
696	35194	65793
697	35236	65727
698	35281	65666
699	35331	65616
700	35372	65547
701	35410	65474
702	35454	65412
703	35506	65363
704	35555	65310
705	35604	65258
706	35649	65197
707	35691	65131
708	35729	65059
709	35778	65005
710	35820	64940
711	35872	64893
712	35919	64836
713	35963	64775
714	36009	64716
715	36055	64658
716	36105	64606
717	36149	64545
718	36191	64480
719	36237	64421
720	36284	64365
721	36318	64286
722	36364	64229
723	36405	64162
724	36454	64109
725	36499	64050
726	36542	63986
727	36585	63924
728	36625	63856
729	36665	63787
730	36710	63728
731	36753	63666
732	36797	63604
733	36842	63545
734	36883	63480
735	36932	63427
736	36974	63362
737	37019	63303
738	37065	63246
739	37104	63177
740	37149	63119
741	37195	63062
742	37236	62996
743	37286	62945
744	37330	62885
745	37371	62820
746	37419	62767
747	37466	62711
748	37504	62640
749	37544	62574
750	37583	62505
751	37627	62444
752	37672	62387
753	37719	62331
754	37777	62295
755	37836	62260
756	38025	62437
757	38097	62423
758	38156	62387
759	38205	62335
760	38250	62276
761	38299	62224
762	38353	62180
763	38400	62123
764	38445	62065
765	38494	62012
766	38536	61949
767	38579	61888
768	38624	61829
769	38667	61767
770	38716	61715
771	38762	61658
772	38801	61590
773	38865	61561
774	38911	61505
775	38950	61436
776	38996	61380
777	39049	61334
778	39091	61272
779	39162	61254
780	39212	61204
781	39261	61150
782	39312	61103
783	39365	61056
784	39415	61006
785	39472	60965
786	39527	60924
787	39581	60878
788	39645	60850
789	39703	60811
790	39744	60748
791	39792	60693
792	39833	60629
793	39880	60574
794	39927	60519
795	39968	60455
796	40009	60391
797	40050	60326
798	40092	60263
799	40146	60220
800	40201	60176
801	40248	60121
802	40295	60066
803	40336	60003
804	40385	59951
805	40423	59882
806	40461	59815
807	40507	59758
808	40548	59694
809	40591	59634
810	40634	59574
811	40677	59512
812	40725	59460
813	40774	59407
814	40826	59361
815	40873	59307
816	40915	59245
817	40959	59185
818	41000	59122
819	41051	59073
820	41095	59015
821	41138	58954
822	41184	58899
823	41243	58862
824	41298	58818
825	41348	58769
826	41397	58717
827	41445	58663
828	41498	58617
829	41539	58555
830	41580	58492
831	41621	58430
832	41668	58375
833	41708	58311
834	41751	58252
835	41792	58189
836	41832	58125
837	41882	58075
838	41923	58012
839	41963	57950
840	42006	57889
841	42041	57819
842	42084	57760
843	42124	57696
844	42168	57638
845	42214	57583
846	42253	57518
847	42300	57464
848	42349	57414
849	42396	57359
850	42433	57293
851	42469	57223
852	42517	57171
853	42568	57122
854	42629	57088
855	42680	57040
856	42737	56999
857	42784	56946
858	42831	56892
859	42873	56831
860	42918	56776
861	42969	56728
862	43018	56677
863	43070	56630
864	43131	56595
865	43183	56547
866	43241	56508
867	43284	56449
868	43317	56378
869	43361	56319
870	43398	56253
871	43445	56199
872	43490	56143
873	43532	56084
874	43574	56024
875	43618	55967
876	43663	55911
877	43710	55857
878	43763	55811
879	43807	55754
880	43855	55702
881	43908	55657
882	43947	55594
883	43989	55534
884	44029	55472
885	44079	55422
886	44123	55365
887	44167	55308
888	44209	55249
889	44259	55200
890	44313	55156
891	44372	55117
892	44422	55068
893	44488	55037
894	44553	55007
895	44603	54958
896	44644	54896
897	44690	54843
898	44736	54788
899	44782	54734
900	44839	54692
901	44885	54638
902	44985	54650
903	45031	54596
904	45073	54536
905	45114	54475
906	45150	54409
907	45191	54349
908	45233	54289
909	45277	54233
910	45326	54182
911	45377	54134
912	45433	54092
913	45491	54052
914	45534	53995
915	45583	53943
916	45627	53887
917	45670	53829
918	45712	53770
919	45757	53715
920	45806	53664
921	45848	53606
922	45905	53564
923	45953	53512
924	45993	53452
925	46038	53396
926	46082	53340
927	46129	53286
928	46174	53232
929	46225	53184
930	46263	53121
931	46318	53077
932	46377	53038
933	46423	52984
934	46474	52935
935	46515	52876
936	46555	52816
937	46611	52773
938	46655	52717
939	46717	52681
940	46767	52631
941	46817	52582
942	46874	52540
943	46930	52498
944	46983	52451
945	47031	52400
946	47075	52344
947	47117	52286
948	47170	52240
949	47220	52190
950	47260	52130
951	47304	52074
952	47345	52015
953	47385	51955
954	47435	51905
955	47483	51854
956	47523	51794
957	47573	51744
958	47614	51685
959	47658	51630
960	47712	51585
961	47765	51539
962	47819	51493
963	47875	51451
964	47933	51410
965	47984	51362
966	48041	51320
967	48102	51282
968	48157	51238
969	48203	51185
970	48245	51127
971	48288	51070
972	48331	51013
973	48375	50958
974	48417	50900
975	48463	50847
976	48508	50792
977	48549	50734
978	48598	50683
979	48645	50631
980	48694	50580
981	48754	50541
982	48810	50498
983	48863	50452
984	48907	50397
985	48954	50345
986	49000	50290
987	49043	50234
988	49088	50180
989	49133	50125
990	49181	50075
991	49228	50022
992	49286	49981
993	49332	49927
994	49373	49869
995	49408	49804
996	49452	49749
997	49503	49702
998	49545	49644
999	49594	49594
1000	49635	49536
1001	49678	49479
1002	49720	49422
1003	49767	49370
1004	49817	49321
1005	49864	49269
1006	49923	49229
1007	49969	49176
1008	50014	49122
1009	50049	49058
1010	50090	49000
1011	50131	48943
1012	50173	48886
1013	50208	48821
1014	50257	48772
1015	50303	48719
1016	50340	48657
1017	50387	48605
1018	50432	48551
1019	50471	48492
1020	50515	48437
1021	50552	48376
1022	50594	48319
1023	50637	48263
1024	50679	48207
1025	50719	48149
1026	50760	48091
1027	50800	48033
1028	50848	47982
1029	50896	47931
1030	50941	47878
1031	50986	47824
1032	51029	47768
1033	51069	47710
1034	51115	47658
1035	51155	47600
1036	51200	47547
1037	51244	47492
1038	51287	47437
1039	51330	47382
1040	51378	47330
1041	51423	47278
1042	51472	47228
1043	51515	47173
1044	51565	47124
1045	51614	47075
1046	51661	47023
1047	51704	46968
1048	51748	46913
1049	51789	46857
1050	51829	46799
1051	51875	46747
1052	51918	46691
1053	51961	46636
1054	52005	46583
1055	52048	46528
1056	52092	46473
1057	52135	46419
1058	52174	46361
1059	52217	46306
1060	52262	46253
1061	52301	46194
1062	52342	46137
1063	52376	46075
1064	52421	46022
1065	52463	45967
1066	52509	45914
1067	52556	45864
1068	52607	45816
1069	52647	45759
1070	52699	45712
1071	52748	45662
1072	52804	45619
1073	52854	45571
1074	52911	45528
1075	52963	45481
1076	53013	45432
1077	53061	45382
1078	53114	45337
1079	53158	45283
1080	53204	45230
1081	53246	45176
1082	53295	45126
1083	53337	45070
1084	53377	45014
1085	53424	44962
1086	53470	44911
1087	53520	44862
1088	53570	44814
1089	53625	44770
1090	53672	44719
1091	53728	44675
1092	53779	44627
1093	53835	44584
1094	53881	44532
1095	53926	44479
1096	53970	44426
1097	54019	44376
1098	54069	44328
1099	54112	44273
1100	54158	44221
1101	54205	44170
1102	54255	44122
1103	54305	44074
1104	54359	44028
1105	54407	43978
1106	54453	43926
1107	54506	43880
1108	54548	43825
1109	54590	43770
1110	54636	43719
1111	54687	43671
1112	54733	43619
1113	54776	43565
1114	54825	43516
1115	54870	43463
1116	54915	43411
1117	54953	43353
1118	54994	43297
1119	55036	43242
1120	55079	43189
1121	55121	43134
1122	55176	43090
1123	55228	43042
1124	55276	42992
1125	55319	42938
1126	55362	42884
1127	55407	42832
1128	55448	42777
1129	55489	42722
1130	55532	42668
1131	55575	42614
1132	55619	42561
1133	55667	42511
1134	55714	42460
1135	55762	42410
1136	55801	42353
1137	55841	42298
1138	55885	42245
1139	55919	42184
1140	55962	42131
1141	56001	42074
1142	56043	42020
1143	56091	41970
1144	56134	41916
1145	56180	41865
1146	56233	41819
1147	56283	41771
1148	56325	41717
1149	56372	41666
